:START_ID,:END_ID,relationship_type:TYPE,weight:float,latency_ms:float
order-fulfillment,report-generator,CALLS,0.58,16.8
order-fulfillment,catalog-service-cluster-2,CALLS,0.78,18.0
order-fulfillment,postgres-replica,DEPENDS_ON,0.98,5.3
payment-gateway-proxy,warehouse-dispatcher,CALLS,0.63,19.7
payment-gateway-proxy,discount-service,CALLS,0.39,17.3
payment-gateway-proxy,mysql-cluster,DEPENDS_ON,0.96,10.8
payment-gateway-proxy,sqs-notification-queue,WRITES_TO,0.86,13.3
payment-processor,tenant-service-cluster-2,CALLS,0.53,32.8
payment-processor,elasticsearch-cluster,DEPENDS_ON,0.95,5.4
payment-processor,redis-cache-master,CALLS,0.82,11.6
payment-processor,kafka-broker-2,WRITES_TO,0.83,12.2
fraud-detection,tenant-service,CALLS,0.65,36.1
fraud-detection,warehouse-dispatcher,CALLS,0.53,35.6
fraud-detection,notification-dispatcher,CALLS,0.76,38.6
fraud-detection,neo4j-graph-db,DEPENDS_ON,0.82,5.9
fraud-detection,redis-session-store,CALLS,0.85,3.2
fraud-detection,kafka-broker-3,WRITES_TO,0.69,13.2
billing-service,tenant-service-cluster-2,CALLS,0.57,34.4
billing-service,order-orchestrator,CALLS,0.75,39.8
billing-service,postgres-replica,DEPENDS_ON,0.89,8.2
billing-service,mongodb-orders,DEPENDS_ON,0.99,5.3
invoice-service,catalog-service,CALLS,0.38,24.2
invoice-service,elasticsearch-cluster,DEPENDS_ON,0.98,5.0
inventory-manager,catalog-service-cluster-2,CALLS,0.64,36.0
inventory-manager,order-orchestrator,CALLS,0.77,30.0
inventory-manager,search-service-cluster-2,CALLS,0.55,17.4
inventory-manager,postgres-primary,DEPENDS_ON,0.99,5.0
warehouse-dispatcher,cart-service-cluster-2,CALLS,0.52,24.7
warehouse-dispatcher,mongodb-orders,DEPENDS_ON,0.98,3.4
shipping-tracker,user-profile-service,CALLS,0.78,40.1
shipping-tracker,cart-service,CALLS,0.59,43.5
shipping-tracker,warehouse-dispatcher,CALLS,0.8,35.2
shipping-tracker,mysql-cluster,DEPENDS_ON,0.93,10.3
shipping-tracker,memcached-cluster,CALLS,0.92,11.4
shipping-tracker,kafka-broker-3,WRITES_TO,0.51,9.4
pricing-engine,catalog-service,CALLS,0.56,28.3
pricing-engine,billing-service,CALLS,0.44,44.9
pricing-engine,cart-service-cluster-2,CALLS,0.52,39.4
pricing-engine,redis-session-store,CALLS,0.82,8.9
discount-service,notification-dispatcher,CALLS,0.47,25.0
discount-service,postgres-primary,DEPENDS_ON,0.86,11.7
discount-service,memcached-cluster,CALLS,0.99,10.2
discount-service,kafka-broker-2,WRITES_TO,0.72,11.0
notification-dispatcher,recommendation-engine-cluster-2,CALLS,0.38,27.3
notification-dispatcher,postgres-primary,DEPENDS_ON,0.96,4.4
notification-dispatcher,sqs-notification-queue,WRITES_TO,0.5,13.3
email-service,discount-service,CALLS,0.34,22.6
email-service,auth-service-cluster-2,CALLS,0.36,38.2
email-service,tenant-service,CALLS,0.73,39.7
email-service,search-service-cluster-2,CALLS,0.3,41.1
email-service,mongodb-orders,DEPENDS_ON,0.96,4.3
sms-gateway,user-profile-service-cluster-2,CALLS,0.48,37.7
sms-gateway,catalog-service,CALLS,0.61,37.8
sms-gateway,billing-service,CALLS,0.4,31.5
sms-gateway,order-fulfillment-cluster-2,CALLS,0.76,28.1
sms-gateway,redis-cache-master,CALLS,0.97,3.4
sms-gateway,kafka-broker-3,WRITES_TO,0.8,6.1
push-notification,order-fulfillment,CALLS,0.46,15.4
push-notification,user-profile-service,CALLS,0.5,21.7
push-notification,shipping-tracker,CALLS,0.72,18.4
push-notification,fraud-detection,CALLS,0.77,34.4
push-notification,mysql-cluster,DEPENDS_ON,0.8,9.9
push-notification,kafka-broker-3,WRITES_TO,0.41,7.7
audit-logger,order-fulfillment-cluster-2,CALLS,0.55,23.2
audit-logger,email-service,CALLS,0.72,44.4
audit-logger,memcached-cluster,CALLS,0.91,9.5
analytics-collector,search-service-cluster-2,CALLS,0.49,42.7
analytics-collector,payment-gateway-proxy,CALLS,0.55,41.4
analytics-collector,neo4j-graph-db,DEPENDS_ON,0.89,4.2
analytics-collector,postgres-replica,DEPENDS_ON,0.92,9.3
report-generator,discount-service,CALLS,0.69,40.6
report-generator,elasticsearch-cluster,DEPENDS_ON,0.81,6.8
report-generator,postgres-primary,DEPENDS_ON,0.88,8.9
api-gateway-cluster-2,admin-portal,CALLS,0.79,13.9
api-gateway-cluster-2,partner-portal,CALLS,0.94,13.5
api-gateway-cluster-2,mobile-frontend,CALLS,0.97,6.3
api-gateway-cluster-2,web-frontend,CALLS,0.77,5.1
ingress-lb-cluster-2,admin-portal-cluster-2,CALLS,0.98,6.6
ingress-lb-cluster-2,web-frontend-cluster-2,CALLS,0.75,12.8
ingress-lb-cluster-2,mobile-frontend-cluster-2,CALLS,0.75,8.5
ingress-lb-cluster-2,mobile-frontend,CALLS,0.75,14.2
public-bff-cluster-2,admin-portal-cluster-2,CALLS,0.78,12.7
public-bff-cluster-2,partner-portal-cluster-2,CALLS,0.73,13.6
public-bff-cluster-2,mobile-frontend-cluster-2,CALLS,0.96,6.4
public-bff-cluster-2,mobile-frontend,CALLS,0.94,9.1
mobile-gateway-cluster-2,web-frontend-cluster-2,CALLS,0.71,6.1
mobile-gateway-cluster-2,admin-portal-cluster-2,CALLS,0.8,13.5
mobile-gateway-cluster-2,mobile-frontend,CALLS,0.99,7.1
mobile-gateway-cluster-2,mobile-frontend-cluster-2,CALLS,0.89,8.4
web-frontend-cluster-2,auth-service-cluster-2,CALLS,0.76,19.5
web-frontend-cluster-2,catalog-service,CALLS,0.92,16.0
web-frontend-cluster-2,invoice-service,CALLS,0.68,27.8
web-frontend-cluster-2,order-fulfillment-cluster-2,CALLS,0.88,20.8
web-frontend-cluster-2,billing-service,CALLS,0.83,26.0
web-frontend-cluster-2,tenant-service-cluster-2,CALLS,0.9,19.8
web-frontend-cluster-2,analytics-collector,CALLS,0.62,19.7
web-frontend-cluster-2,discount-service,CALLS,0.67,23.4
web-frontend-cluster-2,push-notification,CALLS,0.86,24.5
web-frontend-cluster-2,auth-service,CALLS,0.88,28.4
web-frontend-cluster-2,catalog-service-cluster-2,CALLS,0.94,20.7
mobile-frontend-cluster-2,report-generator,CALLS,0.65,19.1
mobile-frontend-cluster-2,user-profile-service,CALLS,0.65,27.6
mobile-frontend-cluster-2,recommendation-engine,CALLS,0.63,29.0
mobile-frontend-cluster-2,user-profile-service-cluster-2,CALLS,0.69,26.7
mobile-frontend-cluster-2,search-service,CALLS,0.71,25.0
mobile-frontend-cluster-2,recommendation-engine-cluster-2,CALLS,0.52,29.0
mobile-frontend-cluster-2,inventory-manager,CALLS,0.6,11.4
mobile-frontend-cluster-2,cart-service-cluster-2,CALLS,0.93,10.8
mobile-frontend-cluster-2,order-orchestrator-cluster-2,CALLS,0.51,14.9
mobile-frontend-cluster-2,order-fulfillment,CALLS,0.88,22.4
mobile-frontend-cluster-2,billing-service,CALLS,0.61,19.5
admin-portal-cluster-2,order-orchestrator,CALLS,0.55,26.4
admin-portal-cluster-2,invoice-service,CALLS,0.93,12.2
admin-portal-cluster-2,catalog-service-cluster-2,CALLS,0.51,16.2
admin-portal-cluster-2,shipping-tracker,CALLS,0.8,29.2
admin-portal-cluster-2,analytics-collector,CALLS,0.68,24.3
admin-portal-cluster-2,fraud-detection,CALLS,0.53,23.8
admin-portal-cluster-2,recommendation-engine,CALLS,0.78,12.0
admin-portal-cluster-2,notification-dispatcher,CALLS,0.85,27.0
admin-portal-cluster-2,user-profile-service-cluster-2,CALLS,0.77,12.4
admin-portal-cluster-2,audit-logger,CALLS,0.94,25.7
admin-portal-cluster-2,push-notification,CALLS,0.66,18.6
partner-portal-cluster-2,audit-logger,CALLS,0.93,22.7
partner-portal-cluster-2,search-service,CALLS,0.87,24.1
partner-portal-cluster-2,cart-service-cluster-2,CALLS,0.7,24.7
partner-portal-cluster-2,sms-gateway,CALLS,0.93,15.4
partner-portal-cluster-2,auth-service,CALLS,0.86,20.8
partner-portal-cluster-2,user-profile-service-cluster-2,CALLS,0.72,18.7
partner-portal-cluster-2,invoice-service,CALLS,0.83,15.4
partner-portal-cluster-2,auth-service-cluster-2,CALLS,0.88,26.6
partner-portal-cluster-2,warehouse-dispatcher,CALLS,0.54,27.6
partner-portal-cluster-2,catalog-service,CALLS,0.61,19.3
partner-portal-cluster-2,tenant-service-cluster-2,CALLS,0.77,17.6
auth-service-cluster-2,order-fulfillment-cluster-2,CALLS,0.44,24.0
auth-service-cluster-2,pricing-engine,CALLS,0.59,45.0
auth-service-cluster-2,auth-service,CALLS,0.54,19.5
auth-service-cluster-2,postgres-replica,DEPENDS_ON,0.86,3.5
auth-service-cluster-2,neo4j-graph-db,DEPENDS_ON,0.83,8.2
user-profile-service-cluster-2,audit-logger,CALLS,0.77,41.1
user-profile-service-cluster-2,push-notification,CALLS,0.79,22.2
user-profile-service-cluster-2,report-generator,CALLS,0.49,40.7
user-profile-service-cluster-2,recommendation-engine-cluster-2,CALLS,0.51,24.5
user-profile-service-cluster-2,memcached-cluster,CALLS,0.89,8.1
user-profile-service-cluster-2,redis-cache-master,CALLS,0.82,9.0
tenant-service-cluster-2,report-generator,CALLS,0.49,34.9
tenant-service-cluster-2,order-orchestrator-cluster-2,CALLS,0.71,44.4
tenant-service-cluster-2,catalog-service-cluster-2,CALLS,0.55,16.1
tenant-service-cluster-2,warehouse-dispatcher,CALLS,0.55,32.7
tenant-service-cluster-2,memcached-cluster,CALLS,0.89,4.3
tenant-service-cluster-2,rabbitmq-orders,WRITES_TO,0.6,12.3
catalog-service-cluster-2,cart-service-cluster-2,CALLS,0.72,18.0
catalog-service-cluster-2,memcached-cluster,CALLS,0.93,5.7
catalog-service-cluster-2,redis-session-store,CALLS,0.83,11.2
catalog-service-cluster-2,kafka-broker-1,WRITES_TO,0.45,6.0
search-service-cluster-2,auth-service,CALLS,0.74,44.1
search-service-cluster-2,user-profile-service-cluster-2,CALLS,0.34,38.4
search-service-cluster-2,recommendation-engine,CALLS,0.43,33.7
search-service-cluster-2,warehouse-dispatcher,CALLS,0.5,17.4
search-service-cluster-2,mysql-cluster,DEPENDS_ON,0.92,7.6
search-service-cluster-2,postgres-primary,DEPENDS_ON,0.87,3.2
search-service-cluster-2,rabbitmq-orders,WRITES_TO,0.83,12.2
recommendation-engine-cluster-2,search-service-cluster-2,CALLS,0.49,24.5
recommendation-engine-cluster-2,audit-logger,CALLS,0.66,37.8
recommendation-engine-cluster-2,discount-service,CALLS,0.74,16.1
recommendation-engine-cluster-2,redis-cache-master,CALLS,0.82,7.1
recommendation-engine-cluster-2,redis-session-store,CALLS,0.83,6.8
cart-service-cluster-2,payment-processor,CALLS,0.62,42.6
cart-service-cluster-2,neo4j-graph-db,DEPENDS_ON,0.82,4.8
cart-service-cluster-2,redis-session-store,CALLS,0.85,6.3
order-orchestrator-cluster-2,recommendation-engine,CALLS,0.79,37.8
order-orchestrator-cluster-2,user-profile-service-cluster-2,CALLS,0.65,18.0
order-orchestrator-cluster-2,redis-cache-master,CALLS,0.81,4.7
order-fulfillment-cluster-2,catalog-service-cluster-2,CALLS,0.75,16.4
order-fulfillment-cluster-2,invoice-service,CALLS,0.7,23.8
order-fulfillment-cluster-2,redis-session-store,CALLS,0.84,3.4
order-fulfillment-cluster-2,postgres-primary,DEPENDS_ON,0.93,2.7
