~id,~from,~to,~label,cpu_limit:String,criticality:String,error_rate:Double,latency_p95:Double,memory_limit:String,protocol:String,replicas:Int,rps:Double,type:String,weight:Double
e-srv-api-gateway-DEPENDS_ON-srv-order-service-21,srv-api-gateway,srv-order-service,DEPENDS_ON,,high,,,,,,,hard,
e-srv-payment-service-DEPENDS_ON-srv-billing-service-22,srv-payment-service,srv-billing-service,DEPENDS_ON,,high,,,,,,,hard,
e-srv-api-gateway-RUNS_ON-host-k8s-node-01-23,srv-api-gateway,host-k8s-node-01,RUNS_ON,2000m,,,,2Gi,,4,,,
e-srv-auth-service-RUNS_ON-host-k8s-node-01-24,srv-auth-service,host-k8s-node-01,RUNS_ON,1000m,,,,1Gi,,3,,,
e-srv-user-service-RUNS_ON-host-k8s-node-01-25,srv-user-service,host-k8s-node-01,RUNS_ON,1000m,,,,1Gi,,3,,,
e-srv-order-service-RUNS_ON-host-k8s-node-02-26,srv-order-service,host-k8s-node-02,RUNS_ON,2000m,,,,4Gi,,4,,,
e-srv-shipping-service-RUNS_ON-host-k8s-node-02-27,srv-shipping-service,host-k8s-node-02,RUNS_ON,1000m,,,,1Gi,,2,,,
e-srv-notification-service-RUNS_ON-host-k8s-node-02-28,srv-notification-service,host-k8s-node-02,RUNS_ON,500m,,,,512Mi,,2,,,
e-srv-recommendation-service-RUNS_ON-host-k8s-node-02-29,srv-recommendation-service,host-k8s-node-02,RUNS_ON,2000m,,,,4Gi,,2,,,
e-srv-payment-service-RUNS_ON-host-k8s-node-03-30,srv-payment-service,host-k8s-node-03,RUNS_ON,4000m,,,,4Gi,,3,,,
e-srv-inventory-service-RUNS_ON-host-k8s-node-03-31,srv-inventory-service,host-k8s-node-03,RUNS_ON,2000m,,,,2Gi,,3,,,
e-srv-billing-service-RUNS_ON-host-k8s-node-03-32,srv-billing-service,host-k8s-node-03,RUNS_ON,2000m,,,,2Gi,,2,,,
e-srv-search-service-RUNS_ON-host-k8s-node-03-33,srv-search-service,host-k8s-node-03,RUNS_ON,2000m,,,,4Gi,,3,,,
e-srv-analytics-service-RUNS_ON-host-k8s-node-03-34,srv-analytics-service,host-k8s-node-03,RUNS_ON,2000m,,,,4Gi,,2,,,
e-srv-payment-service-HAS_ANOMALY-anom-payment-conn-pool-exhausted-35,srv-payment-service,anom-payment-conn-pool-exhausted,HAS_ANOMALY,,,,,,,,,,
e-srv-payment-service-HAS_ANOMALY-anom-payment-latency-spike-36,srv-payment-service,anom-payment-latency-spike,HAS_ANOMALY,,,,,,,,,,
e-srv-order-service-HAS_ANOMALY-anom-order-downstream-timeout-37,srv-order-service,anom-order-downstream-timeout,HAS_ANOMALY,,,,,,,,,,
e-srv-inventory-service-HAS_ANOMALY-anom-inventory-lock-wait-38,srv-inventory-service,anom-inventory-lock-wait,HAS_ANOMALY,,,,,,,,,,
e-srv-api-gateway-HAS_ANOMALY-anom-gateway-504-spike-39,srv-api-gateway,anom-gateway-504-spike,HAS_ANOMALY,,,,,,,,,,
e-inc-2026-0922-001-ROOT_CAUSE-srv-payment-service-40,inc-2026-0922-001,srv-payment-service,ROOT_CAUSE,,,,,,,,,,
e-inc-2026-0922-001-IMPACTS-srv-order-service-41,inc-2026-0922-001,srv-order-service,IMPACTS,,,,,,,,,,
e-inc-2026-0922-001-IMPACTS-srv-api-gateway-42,inc-2026-0922-001,srv-api-gateway,IMPACTS,,,,,,,,,,
e-inc-2026-0922-001-IMPACTS-srv-inventory-service-43,inc-2026-0922-001,srv-inventory-service,IMPACTS,,,,,,,,,,
